id_usuario,carreira_desejada,area_atuacao,nivel_experiencia,nivel_experiencia_num,idade,anos_experiencia,escolaridade,escolaridade_num,tempo_disponivel_semanal,taxa_conclusao_usuario,total_cursos_feitos,score_medio
658,Engenheiro de Dados,Gestão de Produtos,Senior,3,28,8,Técnico,3,5,0.667,3,7.93
659,Desenvolvedor Full Stack,Infraestrutura/Cloud,Senior,3,45,18,Superior Completo,5,8,0.5,6,8.81
660,QA/Tester,Tecnologia da Informação,Intermediário,2,22,2,Técnico,3,10,0.429,7,7.74
661,Cientista de Dados,Marketing Digital,Senior,3,49,15,Superior Incompleto,4,2,1.0,3,8.01
662,DevOps Engineer,Marketing Digital,Senior,3,48,7,Ensino Médio,2,15,1.0,7,8.84
663,Engenheiro de Machine Learning,Outro,Intermediário,2,42,8,Pós-graduação,6,4,0.5,8,6.82
664,Cientista de Dados,Estudante,Intermediário,2,32,14,Ensino Médio,2,5,0.4,5,7.6
665,Analista de Segurança,Marketing Digital,Junior,1,53,3,Ensino Médio,2,20,0.667,3,6.87
666,QA/Tester,Outro,Senior,3,42,17,Técnico,3,8,0.625,8,8.48
667,Desenvolvedor Backend,Marketing Digital,Senior,3,53,11,Mestrado,7,15,0.667,3,8.59
668,Desenvolvedor Mobile,Gestão de Produtos,Junior,1,19,0,Técnico,3,8,0.75,4,7.22
669,Desenvolvedor Backend,Suporte Técnico,Junior,1,33,1,Mestrado,7,2,0.429,7,6.54
670,Analista de Dados,Estudante,Senior,3,35,8,Superior Incompleto,4,20,1.0,4,8.48
671,Product Manager,Gestão de Produtos,Senior,3,31,12,Ensino Fundamental,1,10,0.857,7,8.39
672,Desenvolvedor Mobile,Ciência de Dados,Senior,3,37,11,Ensino Médio,2,5,0.5,4,7.93
673,Desenvolvedor Frontend,Segurança da Informação,Intermediário,2,38,2,Pós-graduação,6,12,1.0,3,8.76
674,Desenvolvedor Mobile,Infraestrutura/Cloud,Senior,3,29,8,Superior Completo,5,4,0.667,3,8.24
675,Analista de Segurança,Infraestrutura/Cloud,Senior,3,38,12,Pós-graduação,6,8,0.833,6,8.33
676,Analista de Dados,Qualidade de Software,Senior,3,25,6,Ensino Médio,2,15,0.857,7,8.65
677,Engenheiro de Dados,Infraestrutura/Cloud,Senior,3,24,5,Técnico,3,10,0.8,5,8.71
678,QA/Tester,Qualidade de Software,Senior,3,42,12,Ensino Médio,2,4,0.667,6,8.39
679,Desenvolvedor Backend,Marketing Digital,Junior,1,19,0,Superior Incompleto,4,6,0.75,8,6.82
680,Cientista de Dados,Tecnologia da Informação,Senior,3,48,14,Pós-graduação,6,5,0.667,3,8.55
681,Desenvolvedor Backend,Segurança da Informação,Senior,3,40,11,Mestrado,7,10,0.5,4,8.3
682,Desenvolvedor Backend,Qualidade de Software,Junior,1,54,0,Mestrado,7,15,0.75,4,6.93
683,Desenvolvedor Backend,Infraestrutura/Cloud,Junior,1,20,2,Técnico,3,12,0.667,6,7.69
684,DevOps Engineer,Design,Senior,3,47,6,Técnico,3,20,0.75,4,8.61
685,Analista de Segurança,Infraestrutura/Cloud,Senior,3,54,14,Ensino Fundamental,1,15,1.0,7,8.48
686,Desenvolvedor Full Stack,Infraestrutura/Cloud,Senior,3,33,7,Superior Incompleto,4,2,1.0,3,8.97
687,Designer UX/UI,Segurança da Informação,Intermediário,2,22,2,Doutorado,8,2,0.75,8,7.39
688,Arquiteto de Software,Infraestrutura/Cloud,Intermediário,2,21,2,Doutorado,8,5,0.333,3,6.59
689,Desenvolvedor Backend,Tecnologia da Informação,Intermediário,2,51,10,Ensino Fundamental,1,20,0.333,3,8.43
690,Cientista de Dados,Estudante,Senior,3,27,7,Superior Incompleto,4,12,0.75,4,8.44
691,Desenvolvedor Backend,Infraestrutura/Cloud,Junior,1,44,1,Doutorado,8,20,0.8,5,7.9
692,Designer UX/UI,Segurança da Informação,Senior,3,30,8,Ensino Médio,2,6,0.833,6,8.65
693,Especialista em Cloud,Segurança da Informação,Senior,3,53,9,Ensino Fundamental,1,10,0.714,7,8.38
694,DevOps Engineer,Segurança da Informação,Intermediário,2,29,10,Mestrado,7,20,0.875,8,7.82
695,Engenheiro de Machine Learning,Suporte Técnico,Intermediário,2,37,10,Superior Completo,5,5,0.75,4,7.13
696,DevOps Engineer,Design,Senior,3,48,5,Ensino Médio,2,15,1.0,3,8.67
697,Analista de Segurança,Tecnologia da Informação,Intermediário,2,36,4,Superior Incompleto,4,6,1.0,4,7.75
698,Analista de Segurança,Outro,Junior,1,21,2,Mestrado,7,15,0.4,5,7.43
699,Product Manager,Desenvolvimento de Software,Junior,1,52,4,Superior Incompleto,4,10,1.0,3,7.25
700,Product Manager,Marketing Digital,Intermediário,2,38,7,Superior Completo,5,12,1.0,7,8.09
701,Engenheiro de Dados,Outro,Senior,3,38,9,Superior Completo,5,10,0.857,7,8.69
702,Cientista de Dados,Segurança da Informação,Junior,1,21,3,Ensino Médio,2,6,1.0,4,6.74
703,Especialista em Cloud,Gestão de Produtos,Junior,1,24,3,Superior Completo,5,5,1.0,3,7.6
704,Engenheiro de Machine Learning,Desenvolvimento de Software,Intermediário,2,41,4,Técnico,3,12,0.5,8,7.26
705,Analista de Segurança,Ciência de Dados,Junior,1,21,1,Mestrado,7,4,0.667,6,6.35
706,DevOps Engineer,Desenvolvimento de Software,Senior,3,36,18,Superior Completo,5,2,0.75,4,7.75
707,Analista de Dados,Gestão de Produtos,Senior,3,36,12,Ensino Médio,2,10,0.625,8,8.9
708,Especialista em Cloud,Tecnologia da Informação,Intermediário,2,48,3,Superior Completo,5,5,0.667,6,7.55
709,DevOps Engineer,Infraestrutura/Cloud,Senior,3,53,16,Ensino Fundamental,1,12,0.857,7,8.6
710,Desenvolvedor Frontend,Outro,Intermediário,2,50,17,Pós-graduação,6,6,0.625,8,8.04
711,Especialista em Cloud,Segurança da Informação,Senior,3,45,14,Superior Incompleto,4,20,0.75,4,8.3
712,Analista de Segurança,Ciência de Dados,Senior,3,50,16,Superior Completo,5,10,0.8,5,8.63
713,Analista de Segurança,Design,Junior,1,21,1,Técnico,3,10,0.571,7,6.86
714,Product Manager,Infraestrutura/Cloud,Intermediário,2,31,10,Ensino Fundamental,1,12,0.333,3,8.68
715,Desenvolvedor Frontend,Suporte Técnico,Intermediário,2,26,8,Ensino Fundamental,1,8,0.75,4,7.67
716,QA/Tester,Desenvolvimento de Software,Intermediário,2,27,9,Doutorado,8,5,0.75,4,6.8
717,Analista de Dados,Ciência de Dados,Senior,3,47,12,Técnico,3,10,0.333,3,8.96
718,Cientista de Dados,Desenvolvimento de Software,Senior,3,34,12,Ensino Médio,2,5,1.0,5,7.91
719,Engenheiro de Dados,Design,Senior,3,36,9,Pós-graduação,6,5,0.714,7,7.85
720,QA/Tester,Suporte Técnico,Senior,3,43,18,Ensino Fundamental,1,8,0.875,8,8.1
721,Arquiteto de Software,Design,Intermediário,2,46,4,Superior Incompleto,4,6,0.857,7,6.65
722,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,38,9,Ensino Médio,2,8,1.0,7,6.8
723,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,53,5,Técnico,3,6,0.8,5,8.02
724,Designer UX/UI,Suporte Técnico,Junior,1,52,0,Ensino Fundamental,1,15,0.6,5,7.05
725,Desenvolvedor Full Stack,Outro,Senior,3,53,5,Ensino Médio,2,20,0.857,7,8.52
726,Engenheiro de Machine Learning,Desenvolvimento de Software,Intermediário,2,48,19,Ensino Médio,2,15,0.571,7,7.33
727,Analista de Dados,Tecnologia da Informação,Junior,1,42,3,Ensino Médio,2,8,0.6,5,7.71
728,Engenheiro de Dados,Marketing Digital,Senior,3,47,11,Técnico,3,10,0.857,7,8.43
729,Especialista em Cloud,Desenvolvimento de Software,Intermediário,2,45,6,Técnico,3,5,0.333,3,7.17
730,Designer UX/UI,Qualidade de Software,Senior,3,45,13,Técnico,3,15,1.0,3,8.43
731,Engenheiro de Dados,Outro,Senior,3,27,7,Técnico,3,10,1.0,8,8.75
732,Product Manager,Suporte Técnico,Intermediário,2,42,12,Superior Incompleto,4,10,0.857,7,7.69
733,QA/Tester,Tecnologia da Informação,Senior,3,26,6,Ensino Médio,2,6,0.75,8,7.98
734,Engenheiro de Dados,Gestão de Produtos,Intermediário,2,37,17,Técnico,3,20,0.667,3,8.32
735,Cientista de Dados,Suporte Técnico,Intermediário,2,38,3,Superior Incompleto,4,4,0.667,3,6.93
736,Especialista em Cloud,Outro,Intermediário,2,50,6,Superior Completo,5,10,0.4,5,7.49
737,Designer UX/UI,Qualidade de Software,Senior,3,32,12,Superior Incompleto,4,15,1.0,5,8.73
738,Analista de Dados,Design,Intermediário,2,37,14,Ensino Fundamental,1,12,0.857,7,8.54
739,DevOps Engineer,Gestão de Produtos,Senior,3,38,9,Superior Incompleto,4,15,0.857,7,8.8
740,Arquiteto de Software,Qualidade de Software,Intermediário,2,31,4,Ensino Fundamental,1,8,0.6,5,6.6
741,QA/Tester,Marketing Digital,Intermediário,2,35,4,Mestrado,7,5,0.4,5,7.04
742,Engenheiro de Dados,Segurança da Informação,Intermediário,2,40,4,Técnico,3,15,1.0,4,7.62
743,Especialista em Cloud,Tecnologia da Informação,Intermediário,2,36,18,Ensino Médio,2,20,0.75,4,6.73
744,Cientista de Dados,Ciência de Dados,Senior,3,38,11,Ensino Fundamental,1,20,0.75,8,8.6
745,Designer UX/UI,Design,Senior,3,50,17,Mestrado,7,8,0.25,4,7.76
746,Engenheiro de Machine Learning,Gestão de Produtos,Junior,1,21,1,Técnico,3,20,0.667,3,6.97
747,Cientista de Dados,Tecnologia da Informação,Junior,1,39,0,Ensino Médio,2,2,0.333,3,6.76
748,Designer UX/UI,Ciência de Dados,Junior,1,41,1,Pós-graduação,6,20,0.5,4,7.85
749,Analista de Dados,Qualidade de Software,Senior,3,39,16,Ensino Médio,2,2,0.75,8,8.15
750,Engenheiro de Machine Learning,Gestão de Produtos,Intermediário,2,51,5,Superior Incompleto,4,10,0.625,8,6.94
751,Desenvolvedor Mobile,Tecnologia da Informação,Junior,1,51,0,Ensino Médio,2,8,0.333,3,6.98
752,DevOps Engineer,Qualidade de Software,Junior,1,22,1,Ensino Fundamental,1,10,0.75,8,6.76
753,Cientista de Dados,Suporte Técnico,Junior,1,19,0,Técnico,3,4,0.625,8,6.68
754,Desenvolvedor Frontend,Estudante,Senior,3,39,11,Técnico,3,15,0.75,8,8.7
755,Desenvolvedor Full Stack,Desenvolvimento de Software,Intermediário,2,27,2,Pós-graduação,6,5,0.857,7,7.47
756,Desenvolvedor Backend,Marketing Digital,Intermediário,2,49,6,Superior Completo,5,8,0.75,4,7.54
757,Especialista em Cloud,Estudante,Intermediário,2,37,3,Mestrado,7,6,0.6,5,6.56
758,Designer UX/UI,Tecnologia da Informação,Senior,3,39,14,Ensino Médio,2,15,0.857,7,8.61
759,DevOps Engineer,Segurança da Informação,Senior,3,38,14,Ensino Fundamental,1,10,0.75,8,8.63
760,Analista de Segurança,Qualidade de Software,Intermediário,2,45,13,Pós-graduação,6,20,0.833,6,8.56
761,Cientista de Dados,Tecnologia da Informação,Intermediário,2,45,16,Ensino Médio,2,4,0.667,6,7.72
762,Engenheiro de Machine Learning,Segurança da Informação,Junior,1,42,2,Ensino Fundamental,1,15,0.857,7,7.04
763,Desenvolvedor Mobile,Estudante,Senior,3,50,9,Pós-graduação,6,6,1.0,5,8.48
764,QA/Tester,Desenvolvimento de Software,Senior,3,52,5,Ensino Fundamental,1,12,0.714,7,8.55
765,Desenvolvedor Mobile,Marketing Digital,Senior,3,40,17,Mestrado,7,5,0.75,4,7.51
766,Engenheiro de Dados,Design,Junior,1,22,3,Pós-graduação,6,15,1.0,8,7.06
767,Designer UX/UI,Suporte Técnico,Intermediário,2,25,7,Técnico,3,6,1.0,5,7.45
768,Especialista em Cloud,Segurança da Informação,Intermediário,2,38,7,Mestrado,7,12,0.6,5,7.85
769,QA/Tester,Infraestrutura/Cloud,Senior,3,26,7,Superior Completo,5,15,1.0,5,8.79
770,Desenvolvedor Frontend,Segurança da Informação,Senior,3,37,5,Ensino Fundamental,1,4,1.0,4,8.04
771,Desenvolvedor Mobile,Design,Intermediário,2,24,6,Superior Completo,5,5,0.833,6,7.78
772,DevOps Engineer,Marketing Digital,Junior,1,20,1,Doutorado,8,15,1.0,5,6.81
773,Especialista em Cloud,Ciência de Dados,Junior,1,50,0,Superior Incompleto,4,12,0.875,8,6.98
774,Desenvolvedor Backend,Estudante,Junior,1,25,4,Ensino Fundamental,1,8,0.833,6,6.86
775,Designer UX/UI,Marketing Digital,Junior,1,21,1,Ensino Fundamental,1,10,0.857,7,7.39
776,Engenheiro de Dados,Estudante,Senior,3,49,8,Mestrado,7,12,0.667,3,9.15
777,Engenheiro de Machine Learning,Design,Junior,1,33,0,Superior Incompleto,4,12,0.571,7,6.83
778,Designer UX/UI,Ciência de Dados,Intermediário,2,38,12,Doutorado,8,4,0.25,4,7.23
779,Desenvolvedor Backend,Outro,Junior,1,21,1,Ensino Médio,2,12,1.0,4,7.58
780,Desenvolvedor Full Stack,Ciência de Dados,Intermediário,2,22,2,Mestrado,7,2,0.667,3,7.1
781,DevOps Engineer,Outro,Junior,1,21,2,Ensino Médio,2,4,0.25,4,6.35
782,Arquiteto de Software,Gestão de Produtos,Intermediário,2,22,2,Ensino Fundamental,1,20,0.625,8,8.19
783,Arquiteto de Software,Desenvolvimento de Software,Intermediário,2,23,3,Superior Completo,5,20,1.0,4,6.95
784,Analista de Segurança,Marketing Digital,Junior,1,19,1,Pós-graduação,6,20,0.667,3,7.95
785,Engenheiro de Dados,Infraestrutura/Cloud,Junior,1,41,1,Superior Incompleto,4,10,0.714,7,7.01
786,Desenvolvedor Frontend,Ciência de Dados,Junior,1,20,1,Ensino Médio,2,8,1.0,3,6.86
787,Desenvolvedor Backend,Tecnologia da Informação,Intermediário,2,50,2,Doutorado,8,6,0.375,8,6.79
788,Engenheiro de Dados,Gestão de Produtos,Intermediário,2,51,8,Pós-graduação,6,5,1.0,6,7.63
789,DevOps Engineer,Design,Intermediário,2,35,10,Superior Completo,5,20,0.714,7,7.91
790,Desenvolvedor Frontend,Desenvolvimento de Software,Senior,3,40,15,Superior Completo,5,10,0.571,7,8.51
791,Engenheiro de Machine Learning,Qualidade de Software,Intermediário,2,34,4,Superior Incompleto,4,5,1.0,5,6.48
792,Desenvolvedor Backend,Tecnologia da Informação,Senior,3,50,19,Superior Incompleto,4,4,0.571,7,8.27
793,Analista de Dados,Segurança da Informação,Junior,1,19,0,Superior Completo,5,15,0.857,7,7.34
794,Cientista de Dados,Desenvolvimento de Software,Senior,3,23,5,Mestrado,7,6,0.714,7,7.96
795,Designer UX/UI,Outro,Junior,1,25,2,Superior Incompleto,4,6,0.5,4,6.7
796,DevOps Engineer,Tecnologia da Informação,Intermediário,2,42,14,Ensino Médio,2,10,0.833,6,7.63
797,Desenvolvedor Full Stack,Ciência de Dados,Intermediário,2,32,2,Superior Incompleto,4,20,1.0,4,8.03
798,Engenheiro de Dados,Suporte Técnico,Intermediário,2,31,3,Ensino Médio,2,2,0.8,5,6.24
799,QA/Tester,Tecnologia da Informação,Junior,1,26,2,Ensino Médio,2,4,0.857,7,6.89
800,QA/Tester,Suporte Técnico,Intermediário,2,50,5,Técnico,3,12,1.0,4,8.29
801,QA/Tester,Marketing Digital,Junior,1,44,1,Ensino Fundamental,1,15,0.75,4,6.8
802,DevOps Engineer,Estudante,Intermediário,2,31,3,Mestrado,7,8,0.8,5,7.16
803,DevOps Engineer,Estudante,Junior,1,25,2,Mestrado,7,5,0.571,7,6.33
804,Engenheiro de Dados,Ciência de Dados,Senior,3,47,13,Superior Completo,5,6,0.5,6,8.32
805,DevOps Engineer,Desenvolvimento de Software,Senior,3,42,7,Superior Incompleto,4,15,0.667,3,9.09
806,DevOps Engineer,Gestão de Produtos,Intermediário,2,31,5,Doutorado,8,12,0.75,8,7.51
807,Desenvolvedor Frontend,Design,Senior,3,39,15,Técnico,3,20,1.0,7,8.71
808,Desenvolvedor Mobile,Suporte Técnico,Senior,3,36,13,Superior Incompleto,4,5,0.6,5,8.14
809,Especialista em Cloud,Segurança da Informação,Intermediário,2,20,2,Mestrado,7,5,0.6,5,7.08
810,DevOps Engineer,Segurança da Informação,Senior,3,45,19,Pós-graduação,6,12,0.75,4,8.43
811,Designer UX/UI,Marketing Digital,Intermediário,2,31,8,Superior Completo,5,12,1.0,6,8.58
812,Desenvolvedor Full Stack,Marketing Digital,Intermediário,2,36,14,Superior Incompleto,4,6,0.75,4,8.15
813,QA/Tester,Design,Senior,3,31,5,Doutorado,8,8,0.8,5,8.37
814,Especialista em Cloud,Qualidade de Software,Intermediário,2,53,7,Técnico,3,2,0.6,5,6.97
815,Desenvolvedor Mobile,Suporte Técnico,Senior,3,47,8,Superior Completo,5,2,1.0,5,7.91
816,Analista de Segurança,Outro,Senior,3,42,13,Superior Incompleto,4,8,0.333,3,8.27
817,Analista de Segurança,Gestão de Produtos,Intermediário,2,52,8,Técnico,3,20,1.0,6,8.25
818,Desenvolvedor Mobile,Qualidade de Software,Junior,1,21,3,Pós-graduação,6,15,0.6,5,8.15
819,Engenheiro de Machine Learning,Outro,Junior,1,19,1,Técnico,3,10,0.667,6,6.71
820,Product Manager,Ciência de Dados,Intermediário,2,33,13,Superior Completo,5,5,1.0,3,7.57
821,DevOps Engineer,Estudante,Junior,1,38,4,Ensino Fundamental,1,6,0.333,3,6.98
822,Product Manager,Ciência de Dados,Junior,1,54,2,Doutorado,8,2,0.75,4,6.14
823,Engenheiro de Dados,Qualidade de Software,Senior,3,26,8,Técnico,3,6,0.857,7,7.92
824,Engenheiro de Machine Learning,Desenvolvimento de Software,Intermediário,2,52,16,Ensino Fundamental,1,4,1.0,4,6.35
825,Desenvolvedor Backend,Qualidade de Software,Junior,1,41,0,Técnico,3,15,1.0,4,7.38
826,Especialista em Cloud,Tecnologia da Informação,Intermediário,2,40,14,Pós-graduação,6,15,0.667,3,8.18
827,Engenheiro de Dados,Outro,Senior,3,29,11,Mestrado,7,20,0.75,4,8.67
828,Desenvolvedor Frontend,Marketing Digital,Intermediário,2,36,18,Pós-graduação,6,10,0.875,8,8.39
829,Desenvolvedor Backend,Outro,Senior,3,37,18,Doutorado,8,6,1.0,6,8.02
830,Engenheiro de Dados,Desenvolvimento de Software,Junior,1,24,3,Pós-graduação,6,10,1.0,3,7.72
831,Arquiteto de Software,Qualidade de Software,Senior,3,29,10,Mestrado,7,5,0.5,4,7.72
832,Engenheiro de Machine Learning,Outro,Junior,1,19,1,Técnico,3,12,0.625,8,6.94
833,Desenvolvedor Backend,Outro,Junior,1,18,0,Mestrado,7,12,0.833,6,7.25
834,Analista de Segurança,Qualidade de Software,Senior,3,23,5,Técnico,3,2,0.75,8,7.98
835,QA/Tester,Qualidade de Software,Senior,3,29,5,Ensino Médio,2,15,0.5,4,8.28
836,Desenvolvedor Backend,Marketing Digital,Intermediário,2,36,9,Ensino Médio,2,2,0.667,6,8.08
837,Engenheiro de Dados,Marketing Digital,Senior,3,46,12,Ensino Médio,2,2,0.714,7,7.88
838,Arquiteto de Software,Suporte Técnico,Senior,3,52,7,Pós-graduação,6,5,0.8,5,8.08
839,Desenvolvedor Full Stack,Design,Senior,3,37,16,Superior Incompleto,4,10,1.0,3,8.6
840,Desenvolvedor Frontend,Marketing Digital,Intermediário,2,25,7,Ensino Médio,2,6,0.75,4,7.77
841,Desenvolvedor Full Stack,Gestão de Produtos,Intermediário,2,43,6,Mestrado,7,8,0.875,8,8.27
842,QA/Tester,Gestão de Produtos,Intermediário,2,26,4,Mestrado,7,2,0.857,7,6.83
843,Designer UX/UI,Gestão de Produtos,Senior,3,34,14,Doutorado,8,12,0.875,8,8.8
844,Arquiteto de Software,Suporte Técnico,Senior,3,30,10,Técnico,3,5,0.5,6,8.78
845,Desenvolvedor Frontend,Estudante,Senior,3,28,8,Ensino Fundamental,1,2,0.833,6,8.04
846,Cientista de Dados,Tecnologia da Informação,Intermediário,2,29,7,Pós-graduação,6,15,0.714,7,7.5
847,QA/Tester,Gestão de Produtos,Senior,3,29,11,Ensino Médio,2,2,1.0,3,7.85
848,QA/Tester,Tecnologia da Informação,Intermediário,2,43,6,Doutorado,8,8,0.75,4,7.96
849,Analista de Dados,Suporte Técnico,Intermediário,2,25,6,Mestrado,7,12,0.833,6,8.67
850,Desenvolvedor Full Stack,Tecnologia da Informação,Intermediário,2,40,16,Superior Incompleto,4,6,0.667,3,7.76
851,Analista de Dados,Outro,Senior,3,35,17,Superior Completo,5,4,0.8,5,7.91
852,Cientista de Dados,Design,Junior,1,21,0,Ensino Médio,2,6,0.5,6,6.33
853,Desenvolvedor Full Stack,Gestão de Produtos,Junior,1,35,4,Doutorado,8,5,0.625,8,6.61
854,Desenvolvedor Full Stack,Marketing Digital,Intermediário,2,45,7,Mestrado,7,6,0.8,5,8.16
855,Cientista de Dados,Suporte Técnico,Intermediário,2,50,11,Doutorado,8,5,0.667,3,7.44
856,Desenvolvedor Frontend,Estudante,Senior,3,32,8,Técnico,3,12,0.833,6,9.01
857,Cientista de Dados,Tecnologia da Informação,Junior,1,19,0,Ensino Médio,2,4,0.667,6,6.91
858,Cientista de Dados,Gestão de Produtos,Senior,3,28,8,Doutorado,8,4,0.833,6,8.05
859,Cientista de Dados,Tecnologia da Informação,Intermediário,2,26,6,Mestrado,7,5,1.0,5,7.76
860,Engenheiro de Dados,Gestão de Produtos,Senior,3,37,5,Técnico,3,8,0.857,7,8.17
861,Desenvolvedor Full Stack,Design,Junior,1,19,0,Doutorado,8,5,0.571,7,6.4
862,Cientista de Dados,Ciência de Dados,Junior,1,19,0,Ensino Fundamental,1,20,0.8,5,7.52
863,Desenvolvedor Backend,Outro,Junior,1,29,2,Ensino Médio,2,2,0.333,3,7.3
864,Arquiteto de Software,Marketing Digital,Junior,1,32,4,Mestrado,7,8,0.75,4,6.52
865,Designer UX/UI,Estudante,Senior,3,48,5,Mestrado,7,8,1.0,6,8.49
866,Product Manager,Ciência de Dados,Junior,1,35,3,Superior Completo,5,5,0.714,7,6.79
867,Analista de Dados,Outro,Intermediário,2,26,5,Técnico,3,4,0.875,8,7.76
868,Especialista em Cloud,Infraestrutura/Cloud,Junior,1,49,2,Técnico,3,5,0.333,3,6.04
869,Especialista em Cloud,Ciência de Dados,Senior,3,45,11,Ensino Fundamental,1,20,0.857,7,8.61
870,Desenvolvedor Frontend,Suporte Técnico,Intermediário,2,40,7,Superior Incompleto,4,20,0.714,7,7.84
871,Analista de Segurança,Qualidade de Software,Junior,1,53,0,Pós-graduação,6,15,0.833,6,7.18
872,QA/Tester,Outro,Intermediário,2,51,4,Ensino Médio,2,12,0.667,3,8.41
873,Designer UX/UI,Gestão de Produtos,Intermediário,2,21,3,Pós-graduação,6,15,0.667,6,8.56
874,Designer UX/UI,Infraestrutura/Cloud,Junior,1,18,0,Mestrado,7,6,0.8,5,7.4
875,Desenvolvedor Frontend,Gestão de Produtos,Senior,3,46,9,Técnico,3,4,0.5,4,7.61
876,Product Manager,Qualidade de Software,Junior,1,45,2,Ensino Médio,2,2,1.0,4,6.04
877,Especialista em Cloud,Design,Intermediário,2,22,3,Pós-graduação,6,4,0.571,7,6.3
878,Cientista de Dados,Gestão de Produtos,Junior,1,18,0,Doutorado,8,2,1.0,3,6.92
879,Product Manager,Qualidade de Software,Junior,1,22,2,Ensino Fundamental,1,6,0.333,6,6.06
880,Cientista de Dados,Gestão de Produtos,Intermediário,2,43,13,Mestrado,7,10,1.0,3,8.01
881,Analista de Dados,Marketing Digital,Intermediário,2,44,9,Superior Incompleto,4,5,0.75,8,7.56
882,Engenheiro de Machine Learning,Infraestrutura/Cloud,Junior,1,23,4,Pós-graduação,6,8,0.667,3,6.48
883,Engenheiro de Dados,Design,Intermediário,2,54,4,Superior Completo,5,8,0.8,5,6.88
884,Analista de Segurança,Outro,Intermediário,2,52,5,Ensino Médio,2,6,0.5,4,6.29
885,Desenvolvedor Backend,Design,Senior,3,35,8,Doutorado,8,2,0.6,5,8.19
886,Cientista de Dados,Outro,Intermediário,2,46,12,Ensino Médio,2,6,0.8,5,7.48
887,DevOps Engineer,Ciência de Dados,Senior,3,34,12,Doutorado,8,10,0.833,6,8.98
888,Analista de Segurança,Marketing Digital,Junior,1,21,3,Técnico,3,8,0.8,5,6.02
889,Cientista de Dados,Outro,Junior,1,30,1,Mestrado,7,10,0.857,7,6.13
890,Desenvolvedor Backend,Segurança da Informação,Intermediário,2,40,18,Ensino Fundamental,1,5,0.4,5,7.41
891,Desenvolvedor Mobile,Ciência de Dados,Intermediário,2,51,12,Superior Incompleto,4,5,0.8,5,7.98
892,DevOps Engineer,Estudante,Senior,3,38,13,Superior Incompleto,4,8,0.8,5,8.71
893,Engenheiro de Dados,Infraestrutura/Cloud,Intermediário,2,28,6,Mestrado,7,6,1.0,4,7.41
894,Arquiteto de Software,Estudante,Junior,1,18,0,Pós-graduação,6,4,0.429,7,6.99
895,DevOps Engineer,Qualidade de Software,Senior,3,53,18,Técnico,3,2,0.714,7,7.92
896,Product Manager,Segurança da Informação,Intermediário,2,52,17,Pós-graduação,6,15,0.5,8,8.26
897,Analista de Segurança,Design,Senior,3,39,18,Ensino Médio,2,8,0.667,6,8.47
898,Desenvolvedor Full Stack,Gestão de Produtos,Intermediário,2,38,7,Técnico,3,8,0.8,5,7.89
899,Analista de Segurança,Ciência de Dados,Junior,1,34,4,Superior Incompleto,4,6,0.0,3,5.89
900,Cientista de Dados,Suporte Técnico,Junior,1,36,1,Ensino Fundamental,1,10,0.375,8,6.89
901,Analista de Segurança,Suporte Técnico,Intermediário,2,29,10,Doutorado,8,12,0.714,7,7.98
902,Arquiteto de Software,Desenvolvimento de Software,Junior,1,45,4,Ensino Fundamental,1,2,0.875,8,6.27
903,Cientista de Dados,Qualidade de Software,Senior,3,37,8,Superior Completo,5,10,0.667,6,8.74
904,QA/Tester,Gestão de Produtos,Senior,3,34,15,Doutorado,8,5,1.0,4,7.67
905,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,49,5,Mestrado,7,12,1.0,4,8.34
906,Desenvolvedor Full Stack,Segurança da Informação,Senior,3,53,5,Pós-graduação,6,2,0.714,7,7.58
907,Cientista de Dados,Suporte Técnico,Intermediário,2,41,14,Doutorado,8,20,0.833,6,7.88
908,Engenheiro de Dados,Design,Senior,3,34,15,Pós-graduação,6,8,0.857,7,8.16
909,Cientista de Dados,Suporte Técnico,Intermediário,2,44,17,Superior Completo,5,5,0.8,5,7.85
910,Desenvolvedor Backend,Segurança da Informação,Junior,1,21,1,Ensino Fundamental,1,5,0.667,3,6.64
911,Especialista em Cloud,Qualidade de Software,Intermediário,2,26,7,Pós-graduação,6,6,0.75,4,6.46
912,Engenheiro de Machine Learning,Estudante,Senior,3,34,16,Doutorado,8,2,0.714,7,8.02
913,Cientista de Dados,Gestão de Produtos,Intermediário,2,50,7,Mestrado,7,5,0.75,4,6.38
914,Product Manager,Outro,Junior,1,20,1,Superior Incompleto,4,12,0.375,8,7.35
915,Engenheiro de Dados,Outro,Senior,3,49,10,Superior Incompleto,4,5,0.5,4,8.03
916,Designer UX/UI,Suporte Técnico,Senior,3,27,9,Pós-graduação,6,8,1.0,3,8.37
917,Cientista de Dados,Desenvolvimento de Software,Senior,3,33,11,Técnico,3,4,1.0,3,8.85
918,Desenvolvedor Frontend,Infraestrutura/Cloud,Junior,1,41,2,Superior Completo,5,15,0.857,7,7.39
919,Arquiteto de Software,Marketing Digital,Intermediário,2,47,14,Ensino Médio,2,5,0.75,4,7.23
920,Engenheiro de Dados,Ciência de Dados,Senior,3,36,17,Superior Completo,5,15,1.0,4,8.64
